epoch,train_loss,val_accuracy,val_balanced_accuracy,val_precision,val_sensitivity_recall,val_specificity,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,val_loss
1,0.9714203710962876,0.6168059832820062,0.5935992277228123,0.2905149051490515,0.5531475748194015,0.6340508806262231,0.38095238095238093,0.6291657254105679,2268,1309,433,536,1.0131827774312179
2,0.8748297997488117,0.7107347118345798,0.5968540263978699,0.34525939177101966,0.39834881320949433,0.7953592395862454,0.3699089602299952,0.5761057126527612,2845,732,583,386,0.977032822079455
3,0.8257593506518603,0.3121425428948526,0.5109843504813605,0.2175392670157068,0.8575851393188855,0.1643835616438356,0.34704531217373147,0.6697828374320168,588,2989,138,831,1.196962338473584
4,0.7607669202659066,0.48834139903211615,0.5518452514387153,0.24308973873532752,0.6625386996904025,0.44115180318702824,0.3556786703601108,0.6411561019505134,1578,1999,327,642,1.0868355879372456
5,0.6629383079090243,0.5164980202375715,0.5253440958214577,0.23012736056214317,0.5407636738906089,0.5099245177523064,0.3228589032655576,0.5466185032051754,1824,1753,445,524,1.4470499939610137
